,coal,gas,wind,diesel,nuclear,hydro,oil&gas,solar
2021,-4.400000000000006,3.299999999999983,7.599999999999994,11.400000000000006,-4.599999999999994,0.09999999999999432,-1.0999999999999943,11.899999999999999
2022,-9.100000000000023,15.900000000000006,10.099999999999994,17.5,-4.199999999999989,0.09999999999999432,-6.0,27.900000000000006
2023,-29.0,19.299999999999983,36.599999999999994,23.400000000000006,-4.199999999999989,0.09999999999999432,-10.699999999999996,33.599999999999994
2024,-40.5,23.299999999999983,69.69999999999999,27.69999999999999,-4.099999999999994,0.09999999999999432,-16.099999999999994,43.900000000000006
2025,-81.30000000000001,37.29999999999998,70.0,39.69999999999999,-5.199999999999989,0.09999999999999432,-16.299999999999997,61.900000000000006
2026,-85.70000000000002,49.79999999999998,70.69999999999999,44.19999999999999,-16.39999999999999,0.09999999999999432,-20.599999999999994,81.9
2027,-91.80000000000001,55.599999999999994,71.6,48.900000000000006,-18.299999999999997,0.09999999999999432,-21.099999999999994,97.4
2028,-94.4,58.900000000000006,72.19999999999999,52.0,-18.299999999999997,0.09999999999999432,-23.099999999999994,104.69999999999999
2029,-96.80000000000001,61.900000000000006,72.69999999999999,55.0,-20.299999999999997,0.09999999999999432,-25.099999999999994,118.9
2030,-99.4,62.99999999999997,73.0,57.19999999999999,-20.19999999999999,0.09999999999999432,-25.599999999999994,126.9
2031,-100.80000000000001,67.6,73.6,60.900000000000006,-20.099999999999994,0.09999999999999432,-27.299999999999997,134.8
2032,-102.80000000000001,72.20000000000002,74.30000000000001,63.099999999999994,-20.0,0.09999999999999432,-27.499999999999993,145.4
2033,-104.00000000000001,75.6,74.9,66.0,-21.0,0.09999999999999432,-28.39999999999999,155.4
2034,-104.60000000000001,79.49999999999997,75.4,70.80000000000001,-23.0,0.09999999999999432,-28.89999999999999,162.4
2035,-106.80000000000001,83.70000000000002,75.9,75.30000000000001,-22.799999999999997,0.09999999999999432,-29.89999999999999,172.4
2036,-106.80000000000001,86.9,76.30000000000001,79.69999999999999,-23.599999999999994,0.09999999999999432,-29.89999999999999,179.3
2037,-108.00000000000001,91.1,76.5,85.1,-23.599999999999994,0.09999999999999432,-29.199999999999996,186.9
2038,-111.10000000000001,94.99999999999997,77.30000000000001,89.1,-23.5,0.09999999999999432,-29.199999999999996,195.3
2039,-111.9,97.4,77.5,95.6,-23.5,0.09999999999999432,-29.199999999999996,200.0
2040,-111.9,102.6,78.0,99.1,-24.69999999999999,0.09999999999999432,-29.199999999999996,205.3
2041,-112.20000000000002,105.9,78.69999999999999,103.5,-24.5,0.09999999999999432,-29.199999999999996,215.5
2042,-112.20000000000002,108.20000000000002,78.80000000000001,110.69999999999999,-24.39999999999999,0.09999999999999432,-29.199999999999996,221.2
2043,-112.20000000000002,113.99999999999997,79.5,119.80000000000001,-24.299999999999997,0.09999999999999432,-29.199999999999996,228.0
2044,-112.20000000000002,118.20000000000002,80.9,125.30000000000001,-24.19999999999999,0.09999999999999432,-29.299999999999997,236.10000000000002
2045,-114.70000000000002,122.4,82.6,131.39999999999998,-24.099999999999994,0.09999999999999432,-29.299999999999997,248.10000000000002
2046,-114.70000000000002,125.4,83.80000000000001,136.60000000000002,-24.0,0.09999999999999432,-29.299999999999997,261.7
2047,-115.20000000000002,129.99999999999997,85.5,142.89999999999998,-24.89999999999999,0.09999999999999432,-29.299999999999997,275.9
2048,-115.20000000000002,135.4,85.69999999999999,151.89999999999998,-24.89999999999999,0.09999999999999432,-29.299999999999997,283.8
2049,-115.20000000000002,143.20000000000002,87.9,157.89999999999998,-24.89999999999999,0.09999999999999432,-29.299999999999997,293.8
2050,-115.20000000000002,149.29999999999998,90.5,164.3,-24.799999999999997,0.09999999999999432,-29.299999999999997,302.8
