source,stream,material,amount (kg/MW),mining
coal,oper_need,coal,82414080,"(43.558889,-105.288333)"
coal,oper_need,lime_FGC,1287720,"(45.41583,-83.80306)"
coal,oper_need,limestone,16556400,"(45.41583,-83.80306)"
gas,oper_need,coal,402084,"(43.558889,-105.288333)"
gas,oper_need,iron,134028,"(47.544722222222 ,-92.654444444444)"
gas,oper_need,limestone,134028,"(45.41583,-83.80306)"
gas,oper_need,natural_gas,37795896,"(39.28184198412667,-80.6943303709875)"
gas,oper_need,oil (diesel),134028,"(28.9907,-98.0499)"
nuclear,oper_need,gadolinium,2.8713528,"(24.839019,114.836978)"
nuclear,oper_need,iron,30274.56,"(47.544722222222 ,-92.654444444444)"
nuclear,oper_need,natural_uranium,15000,"(58.06851490380746,-104.54038472203668)"
nuclear,oper_need,zirconium,804.168,"(-30.90926391474549,132.22041172635542)"
solar,oper_need,polyamide,485,"(28.9907,-98.0499)"
solar,oper_need,polyester,300,"(28.9907,-98.0499)"
solar,oper_need,polyethylene,150,"(39.28184198412667,-80.6943303709875)"
solar,oper_need,vegetable_oil,6001,"(-15.52977692635788,-56.0937620026863)"
wind,oper_need,lubricant,3304,"(28.9907,-98.0499)"
